"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2015-03-08,61,"BOS","ORL","0","0",95,126,3,1
2015-03-09,62,"BOS","MIA","0","1",101,91,3,2
2015-03-11,63,"BOS","MEM","1","1",106,99,3,1
2015-03-13,64,"BOS","ORL","1","1",92,90,3,1
2015-03-14,65,"BOS","IND","0","1",116,77,3,2
2015-03-16,66,"BOS","PHI","1","1",124,81,3,1
2015-03-18,67,"BOS","OKC","0","0",129,130,3,4
2015-03-20,68,"BOS","SAS","0","0",84,136,3,4
2015-03-22,69,"BOS","DET","1","0",96,121,3,1
2015-03-23,70,"BOS","BRK","0","1",122,98,3,1
2015-03-25,71,"BOS","MIA","1","0",85,94,3,2
2015-03-27,72,"BOS","NYK","0","1",112,81,3,1
2015-03-29,73,"BOS","LAC","1","0",101,149,3,4
2015-03-30,74,"BOS","CHO","0","1",127,119,3,3
2015-04-01,75,"BOS","IND","1","1",121,83,3,2
2015-04-03,76,"BOS","MIL","1","0",98,135,3,2
2015-04-04,77,"BOS","TOR","0","1",119,123,3,4
2015-04-08,78,"BOS","DET","0","1",133,111,3,1
2015-04-10,79,"BOS","CLE","0","1",114,91,3,4
2015-04-12,80,"BOS","CLE","1","1",144,71,3,4
2015-04-14,81,"BOS","TOR","1","1",95,97,3,4
2015-04-15,82,"BOS","MIL","0","1",128,116,3,2
2014-10-29,1,"BRK","BOS","0","0",109,130,1,3
2014-11-01,2,"BRK","DET","0","1",108,102,1,1
2014-11-03,3,"BRK","OKC","1","1",140,75,1,4
2014-11-05,4,"BRK","MIN","1","0",86,111,1,3
2014-11-07,5,"BRK","NYK","1","1",122,96,1,1
2014-11-09,6,"BRK","ORL","1","1",128,94,1,1
2014-11-12,7,"BRK","PHO","0","0",101,122,1,1
2014-11-13,8,"BRK","GSW","0","0",86,137,1,4
2014-11-15,9,"BRK","POR","0","0",79,119,1,3
2014-11-17,10,"BRK","MIA","1","0",91,95,1,2
2014-11-19,11,"BRK","MIL","1","0",129,123,1,2
2014-11-21,12,"BRK","OKC","0","1",99,83,1,4
2014-11-22,13,"BRK","SAS","0","0",83,138,1,4
2014-11-26,14,"BRK","PHI","0","1",114,86,1,1
2014-11-30,15,"BRK","CHI","1","0",67,122,1,2
2014-12-02,16,"BRK","NYK","0","1",109,98,1,1
2014-12-03,17,"BRK","SAS","1","1",107,98,1,4
2014-12-05,18,"BRK","ATL","1","0",71,114,1,3
2014-12-08,19,"BRK","CLE","1","0",84,137,1,4
2014-12-10,20,"BRK","CHI","0","0",61,136,1,2
2014-12-12,21,"BRK","PHI","1","1",114,54,1,1
2014-12-13,22,"BRK","CHO","0","1",136,81,1,3
2014-12-16,23,"BRK","MIA","1","0",86,105,1,2
2014-12-17,24,"BRK","TOR","0","0",93,114,1,4
2014-12-19,25,"BRK","CLE","0","0",92,107,1,4
2014-12-21,26,"BRK","DET","1","1",129,115,1,1
2014-12-23,27,"BRK","DEN","1","1",106,102,1,3
2014-12-26,28,"BRK","BOS","0","1",128,112,1,3
2014-12-27,29,"BRK","IND","1","0",72,138,1,2
2014-12-29,30,"BRK","SAC","1","1",122,98,1,2
2014-12-30,31,"BRK","CHI","0","1",107,90,1,2
2015-01-02,32,"BRK","ORL","0","1",122,97,1,1
