"Date","Game","Team","Opponent","Home","Win","FieldGoals.","X3PointShots.","FreeThrows.","OffRebounds","TotalRebounds","Assists","Steals","Blocks","Turnovers","TotalFouls","Opp.FieldGoals.","Opp.3PointShots.","Opp.FreeThrows.","Opp.OffRebounds","Opp.TotalRebounds","Opp.Assists","Opp.Steals","Opp.Blocks","Opp.Turnovers","Opp.TotalFouls","TeamGroup","OppGroup"
2014-10-29,1,"BOS","BRK","1","1",0.557,0.364,0.652,9,35,28,11,5,12,25,0.488,0.368,0.769,9,39,20,6,7,20,21,3,1
2014-11-01,2,"BOS","HOU","0","0",0.378,0.04,0.833,14,44,20,10,8,10,26,0.421,0.353,0.7,10,49,20,9,8,17,24,3,4
2014-11-03,3,"BOS","DAL","0","0",0.441,0.355,0.75,22,49,29,9,6,17,21,0.537,0.56,0.8,7,36,24,5,9,17,17,3,2
2014-11-05,4,"BOS","TOR","1","0",0.513,0.385,0.944,17,55,22,5,3,27,25,0.483,0.438,0.826,6,24,18,11,4,7,18,3,4
2014-11-07,5,"BOS","IND","1","1",0.459,0.333,0.875,9,38,26,6,3,12,19,0.455,0.263,1,14,42,18,2,6,13,17,3,2
2014-11-08,6,"BOS","CHI","0","1",0.519,0.368,0.75,7,45,25,6,3,12,17,0.457,0.444,0.6,11,38,26,5,2,8,16,3,2
2014-11-12,7,"BOS","OKC","1","0",0.446,0.273,0.846,7,35,28,5,3,8,20,0.488,0.417,0.864,8,41,23,1,3,8,13,3,4
2014-11-14,8,"BOS","CLE","1","0",0.545,0.3,0.826,8,39,32,7,1,14,26,0.506,0.348,0.757,8,40,22,5,5,11,21,3,4
2014-11-17,9,"BOS","PHO","1","0",0.517,0.4,0.645,11,44,28,10,4,18,19,0.516,0.429,0.813,8,40,30,11,2,18,23,3,1
2014-11-19,10,"BOS","PHI","0","1",0.494,0.3,0.619,7,44,32,11,4,15,19,0.395,0.333,0.714,9,44,22,10,2,15,20,3,1
2014-11-23,12,"BOS","POR","1","0",0.389,0.217,0.75,12,46,17,12,1,8,15,0.43,0.368,0.867,10,55,20,7,3,16,13,3,3
2014-11-30,14,"BOS","SAS","1","0",0.414,0.333,0.733,12,42,21,5,5,15,21,0.482,0.423,0.9,10,45,25,9,5,14,11,3,4
2014-12-02,15,"BOS","ATL","0","0",0.488,0.522,0.846,9,42,33,10,3,21,20,0.524,0.458,0.857,4,31,36,8,8,16,14,3,3
2014-12-05,17,"BOS","LAL","1","1",0.511,0.4,0.591,10,54,29,6,2,16,19,0.413,0.375,0.737,7,38,14,2,4,12,18,3,1
2014-12-07,18,"BOS","WAS","1","1",0.409,0.471,0.808,9,49,20,10,7,15,21,0.366,0.407,0.667,16,52,21,5,8,19,20,3,3
2014-12-08,19,"BOS","WAS","0","0",0.461,0.409,0.906,14,46,27,17,4,17,30,0.521,0.438,0.824,11,49,32,10,3,23,26,3,3
2014-12-10,20,"BOS","CHO","0","0",0.437,0.217,0.6,6,45,26,3,1,14,27,0.417,0.214,0.793,7,44,18,5,3,10,14,3,3
2014-12-12,21,"BOS","NYK","1","0",0.435,0.318,0.778,12,41,28,3,3,17,18,0.494,0.375,0.833,11,40,26,13,5,13,20,3,1
2014-12-17,23,"BOS","ORL","1","1",0.55,0.368,0.778,7,42,25,9,8,14,16,0.435,0.263,0.867,10,36,17,8,1,12,16,3,1
2014-12-21,25,"BOS","MIA","0","0",0.398,0.261,0.8,14,42,22,6,4,15,18,0.474,0.286,0.769,6,38,18,9,3,8,14,3,2
2014-12-23,26,"BOS","ORL","0","0",0.388,0.304,0.759,9,45,22,10,4,12,21,0.47,0.389,0.652,7,45,23,7,4,14,21,3,1
2014-12-26,27,"BOS","BRK","1","0",0.517,0.375,0.727,5,37,32,8,3,14,23,0.494,0.333,0.714,13,43,19,9,3,15,10,3,1
2014-12-31,29,"BOS","SAC","1","1",0.468,0.238,0.867,9,49,32,9,7,11,23,0.368,0.133,0.643,11,46,12,9,5,16,17,3,2
2015-01-02,30,"BOS","DAL","1","0",0.427,0.353,0.684,9,38,22,6,2,12,21,0.469,0.481,0.941,16,52,24,8,1,11,21,3,2
2015-01-03,31,"BOS","CHI","0","0",0.45,0.294,0.818,10,45,26,9,6,20,28,0.37,0.214,0.725,24,59,19,10,9,16,14,3,2
2015-01-05,32,"BOS","CHO","1","0",0.396,0.389,0.696,10,33,22,8,7,6,23,0.487,0.316,0.957,12,48,22,2,10,15,22,3,3
2015-01-07,33,"BOS","BRK","0","1",0.398,0.278,0.824,11,41,22,8,2,6,26,0.405,0.214,0.692,11,50,18,3,6,17,18,3,1
2015-01-09,34,"BOS","IND","0","0",0.398,0.294,0.688,13,50,25,10,7,10,27,0.37,0.391,0.882,16,56,21,5,9,16,18,3,2
2015-01-10,35,"BOS","TOR","0","0",0.47,0.333,0.6,9,43,23,7,3,18,21,0.451,0.433,0.737,15,48,23,8,10,13,20,3,4
