"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2015-02-05,49,"CHO","WAS","1","1",119,63,3,3
2015-02-07,50,"CHO","PHI","0","0",89,91,3,1
2015-02-10,52,"CHO","DET","1","0",73,125,3,1
2015-02-21,53,"CHO","OKC","1","0",120,120,3,4
2015-02-22,54,"CHO","DAL","0","0",75,115,3,2
2015-02-27,56,"CHO","BOS","0","0",108,119,3,3
2015-03-01,57,"CHO","ORL","0","1",115,78,3,1
2015-03-03,58,"CHO","LAL","1","1",130,109,3,1
2015-03-04,59,"CHO","BRK","0","1",139,77,3,1
2015-03-11,63,"CHO","SAC","1","0",117,117,3,2
2015-03-13,64,"CHO","CHI","1","1",111,74,3,2
2015-03-17,66,"CHO","LAC","0","0",98,109,3,4
2015-03-20,67,"CHO","SAC","0","0",81,106,3,2
2015-03-23,69,"CHO","CHI","0","0",77,115,3,2
2015-03-25,70,"CHO","BRK","1","0",93,109,3,1
2015-03-27,71,"CHO","WAS","0","0",128,111,3,3
2015-03-28,72,"CHO","ATL","1","1",143,109,3,3
2015-04-01,74,"CHO","DET","1","1",126,77,3,1
2015-04-03,75,"CHO","IND","0","0",73,101,3,2
2015-04-07,77,"CHO","MIA","0","0",90,123,3,2
2015-04-08,78,"CHO","TOR","1","0",64,106,3,4
2015-04-10,79,"CHO","ATL","0","0",85,129,3,3
2015-04-13,81,"CHO","HOU","1","0",88,116,3,4
2014-10-29,1,"CHI","NYK","0","1",129,76,2,1
2014-10-31,2,"CHI","CLE","1","0",107,116,2,4
2014-11-01,3,"CHI","MIN","0","1",112,110,2,3
2014-11-04,4,"CHI","ORL","1","1",120,91,2,1
2014-11-05,5,"CHI","MIL","0","1",116,82,2,2
2014-11-07,6,"CHI","PHI","0","1",136,113,2,1
2014-11-08,7,"CHI","BOS","1","0",106,126,2,3
2014-11-10,8,"CHI","DET","1","1",121,87,2,1
2014-11-13,9,"CHI","TOR","0","1",122,75,2,4
2014-11-17,11,"CHI","LAC","0","1",122,88,2,4
2014-11-20,12,"CHI","SAC","0","0",87,126,2,2
2014-11-24,14,"CHI","UTA","0","1",105,105,2,2
2014-11-30,17,"CHI","BRK","0","1",122,67,2,1
2014-12-02,18,"CHI","DAL","1","0",149,138,2,2
2014-12-06,20,"CHI","GSW","1","0",104,133,2,4
2014-12-10,21,"CHI","BRK","1","1",136,61,2,1
2014-12-12,22,"CHI","POR","1","1",132,104,2,3
2014-12-14,23,"CHI","MIA","0","1",109,65,2,2
2014-12-18,25,"CHI","NYK","1","1",117,91,2,1
2014-12-22,27,"CHI","TOR","1","1",161,90,2,4
2014-12-23,28,"CHI","WAS","0","1",117,90,2,3
2014-12-25,29,"CHI","LAL","1","1",143,86,2,1
2014-12-29,31,"CHI","IND","0","1",102,81,2,2
2014-12-30,32,"CHI","BRK","1","0",90,107,2,1
2015-01-01,33,"CHI","DEN","1","1",137,90,2,3
2015-01-03,34,"CHI","BOS","1","1",124,90,2,3
2015-01-05,35,"CHI","HOU","1","1",152,89,2,4
2015-01-07,36,"CHI","UTA","1","0",63,115,2,2
2015-01-09,37,"CHI","WAS","0","0",87,117,2,3
2015-01-10,38,"CHI","MIL","1","1",108,91,2,2
2015-01-12,39,"CHI","ORL","1","0",129,132,2,1
2015-01-14,40,"CHI","WAS","1","0",101,119,2,3
2015-01-16,41,"CHI","BOS","0","1",149,120,2,3
2015-01-17,42,"CHI","ATL","1","0",108,134,2,3
2015-01-19,43,"CHI","CLE","0","0",95,111,2,4
2015-01-22,44,"CHI","SAS","1","1",131,64,2,4
2015-01-23,45,"CHI","DAL","0","1",110,104,2,2
2015-01-25,46,"CHI","MIA","1","0",74,119,2,2
2015-01-27,47,"CHI","GSW","0","1",121,114,2,4
2015-01-29,48,"CHI","LAL","0","0",128,130,2,1
2015-01-30,49,"CHI","PHO","0","0",97,105,2,1
2015-02-04,50,"CHI","HOU","0","0",92,107,2,4
2015-02-07,51,"CHI","NOP","0","1",126,62,2,4
2015-02-10,53,"CHI","SAC","1","1",118,97,2,2
2015-02-12,54,"CHI","CLE","1","1",135,96,2,4
2015-02-20,55,"CHI","DET","0","0",91,96,2,1
2015-02-21,56,"CHI","PHO","1","1",128,117,2,1
2015-02-23,57,"CHI","MIL","1","1",107,54,2,2
2015-02-27,59,"CHI","MIN","1","1",104,96,2,3
2015-03-01,60,"CHI","LAC","1","0",73,109,2,4
2015-03-03,61,"CHI","WAS","1","1",103,96,2,3
2015-03-05,62,"CHI","OKC","1","1",126,112,2,4
2015-03-11,66,"CHI","PHI","0","1",117,91,2,1
2015-03-13,67,"CHI","CHO","0","0",74,111,2,3
2015-03-20,70,"CHI","TOR","1","1",141,94,2,4
2015-03-23,72,"CHI","CHO","1","1",115,77,2,3
2015-03-25,73,"CHI","TOR","0","1",142,101,2,4
2015-03-28,74,"CHI","NYK","1","1",142,79,2,1
2015-04-01,75,"CHI","MIL","0","0",89,89,2,2
2015-04-03,76,"CHI","DET","1","1",92,86,2,1
2015-04-05,77,"CHI","CLE","0","0",103,112,2,4
2015-04-08,78,"CHI","ORL","0","0",114,112,2,1
2015-04-09,79,"CHI","MIA","0","1",97,69,2,2
2015-04-11,80,"CHI","PHI","1","1",130,95,2,1
2015-04-13,81,"CHI","BRK","0","1",138,73,2,1
2014-10-31,2,"CLE","CHI","0","1",116,107,4,2
2014-11-04,3,"CLE","POR","0","0",75,122,4,3
2014-11-05,4,"CLE","UTA","0","0",84,117,4,2
2014-11-07,5,"CLE","DEN","0","1",127,101,4,3
2014-11-10,6,"CLE","NOP","1","1",144,123,4,4
2014-11-14,7,"CLE","BOS","0","1",136,132,4,3
2014-11-17,9,"CLE","DEN","1","0",107,111,4,3
2014-11-19,10,"CLE","SAS","1","0",92,109,4,4
2014-11-22,12,"CLE","TOR","1","0",92,114,4,4
2014-11-24,13,"CLE","ORL","1","1",137,61,4,1
2014-11-29,15,"CLE","IND","1","1",127,98,4,2
2014-12-02,16,"CLE","MIL","1","1",125,117,4,2
2014-12-04,17,"CLE","NYK","0","1",97,91,4,1
2014-12-05,18,"CLE","TOR","0","1",119,97,4,4
2014-12-08,19,"CLE","BRK","0","1",137,84,4,1
2014-12-11,21,"CLE","OKC","0","0",88,122,4,4
2014-12-12,22,"CLE","NOP","0","0",122,140,4,4
2014-12-17,24,"CLE","ATL","1","0",95,172,4,3
2014-12-21,26,"CLE","MEM","1","1",124,105,4,1
2014-12-23,27,"CLE","MIN","1","1",132,111,4,3
2014-12-25,28,"CLE","MIA","0","0",97,109,4,2
2014-12-26,29,"CLE","ORL","0","1",118,89,4,1
2014-12-30,31,"CLE","ATL","0","0",96,136,4,3
2014-12-31,32,"CLE","MIL","1","0",84,119,4,2
2015-01-02,33,"CLE","CHO","0","1",91,84,4,3
2015-01-04,34,"CLE","DAL","1","0",93,135,4,2
2015-01-05,35,"CLE","PHI","0","0",100,109,4,1
2015-01-07,36,"CLE","HOU","1","0",93,112,4,4
2015-01-09,37,"CLE","GSW","0","0",88,144,4,4
2015-01-11,38,"CLE","SAC","0","0",76,129,4,2
2015-01-15,40,"CLE","LAL","0","1",122,99,4,1
2015-01-16,41,"CLE","LAC","0","1",132,134,4,4
2015-01-19,42,"CLE","CHI","1","1",111,95,4,2
2015-01-21,43,"CLE","UTA","1","1",143,84,4,2
2015-01-23,44,"CLE","CHO","1","1",164,90,4,3
2015-01-25,45,"CLE","OKC","1","1",123,92,4,4
2015-01-27,46,"CLE","DET","0","1",107,106,4,1
2015-01-28,47,"CLE","POR","1","1",104,99,4,3
2015-01-30,48,"CLE","SAC","1","1",108,93,4,2
2015-01-31,49,"CLE","MIN","0","1",117,85,4,3
2015-02-02,50,"CLE","PHI","1","1",106,84,4,1
2015-02-05,51,"CLE","LAC","1","1",133,87,4,4
2015-02-06,52,"CLE","IND","0","0",93,129,4,2
2015-02-12,55,"CLE","CHI","0","0",96,135,4,2
2015-02-20,56,"CLE","WAS","0","1",151,89,4,3
2015-02-22,57,"CLE","NYK","0","1",118,80,4,1
2015-02-24,58,"CLE","DET","0","1",110,88,4,1
2015-02-27,60,"CLE","IND","0","0",75,114,4,2
2015-03-01,61,"CLE","HOU","0","0",94,116,4,4
2015-03-03,62,"CLE","BOS","1","1",149,68,4,3
2015-03-04,63,"CLE","TOR","0","1",141,122,4,4
2015-03-07,65,"CLE","PHO","1","1",103,77,4,1
